sku,name,category,footprint,renderer,mesh_family,painter_ref,png_frames
"sku-0830","Beetle","Cars","2x3","WebGL procedural mesh","cars","webgl.sku-0830","0"
"sku-0829","Camper","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0829","0"
"sku-0806","Convertible","Cars","2x3","WebGL procedural mesh","cars","webgl.sku-0806","0"
"sku-0825","Fire truck","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0825","0"
"sku-0832","Food truck","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0832","0"
"sku-0831","Jeep","Cars","2x3","WebGL procedural mesh","cars","webgl.sku-0831","0"
"sku-0815","Limousine","Cars","2x5","WebGL procedural mesh","cars","webgl.sku-0815","0"
"sku-0820","Muscle car","Cars","2x3","WebGL procedural mesh","cars","webgl.sku-0820","0"
"sku-0810","Pickup","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0810","0"
"sku-0823","School bus","Cars","2x5","WebGL procedural mesh","cars","webgl.sku-0823","0"
"sku-0812","SUV","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0812","0"
"sku-0826","Tow truck","Cars","2x4","WebGL procedural mesh","cars","webgl.sku-0826","0"
"sku-0400","Computer setup","Equipment","2x1","WebGL procedural mesh","equipment","webgl.sku-0400","0"
"sku-0419","Mobile whiteboard","Equipment","2x1","WebGL procedural mesh","equipment","webgl.sku-0419","0"
"sku-0412","Printer","Equipment","2x1","WebGL procedural mesh","equipment","webgl.sku-0412","0"
"sku-0403","Server rack","Equipment","2x1","WebGL procedural mesh","equipment","webgl.sku-0403","0"
"sku-0790","Utility generator","Equipment","2x1","WebGL procedural mesh","equipment","webgl.sku-0790","0"
"sku-8570","Bookshelf","Furniture","2x1","WebGL procedural mesh","shelving","webgl.sku-8570","0"
"sku-8520","Cobalt woven rug","Furniture","2x2","WebGL procedural mesh","fixtures","webgl.sku-8520","0"
"sku-0100","Executive desk","Furniture","2x2","WebGL procedural mesh","desks","webgl.sku-0100","0"
"sku-8540","Floor lamp","Furniture","1x1","WebGL procedural mesh","equipment","webgl.sku-8540","0"
"sku-0700","Outdoor bench","Furniture","2x1","WebGL procedural mesh","seating","webgl.sku-0700","0"
"sku-0710","Picnic table","Furniture","2x2","WebGL procedural mesh","seating","webgl.sku-0710","0"
"sku-0106","Reception desk","Furniture","3x1","WebGL procedural mesh","desks","webgl.sku-0106","0"
"sku-0114","Sofa","Furniture","3x1","WebGL procedural mesh","seating","webgl.sku-0114","0"
"sku-0101","Standing desk","Furniture","2x1","WebGL procedural mesh","desks","webgl.sku-0101","0"
"sku-0108","Task chair","Furniture","1x1","WebGL procedural mesh","seating","webgl.sku-0108","0"
"sku-0600","Arcade cabinet","Office amenities","2x1","WebGL procedural mesh","games","webgl.sku-0600","0"
"sku-1301","Back-bar display","Office amenities","3x1","WebGL procedural mesh","lounge","webgl.sku-1301","0"
"sku-1300","Bar counter","Office amenities","3x1","WebGL procedural mesh","lounge","webgl.sku-1300","0"
"sku-1304","Bar stool","Office amenities","1x1","WebGL procedural mesh","lounge","webgl.sku-1304","0"
"sku-0605","Beanbag nook","Office amenities","2x2","WebGL procedural mesh","seating","webgl.sku-0605","0"
"sku-1302","Beer keg","Office amenities","1x1","WebGL procedural mesh","lounge","webgl.sku-1302","0"
"sku-0770","Campus mailbox","Office amenities","1x1","WebGL procedural mesh","amenities","webgl.sku-0770","0"
"sku-0624","Dance arcade","Office amenities","2x1","WebGL procedural mesh","games","webgl.sku-0624","0"
"sku-0602","Dartboard","Office amenities","1x1","WebGL procedural mesh","games","webgl.sku-0602","0"
"sku-1303","Draft tap tower","Office amenities","2x1","WebGL procedural mesh","lounge","webgl.sku-1303","0"
"sku-0500","Espresso machine","Office amenities","2x1","WebGL procedural mesh","amenities","webgl.sku-0500","0"
"sku-0622","Exercise bike","Office amenities","1x1","WebGL procedural mesh","fitness","webgl.sku-0622","0"
"sku-0603","Foosball table","Office amenities","2x1","WebGL procedural mesh","games","webgl.sku-0603","0"
